user_id,current_service
0yZbFR3OXfd26D5L,89950167
16guRflhKMPxnoSC,90109916
1meald0BLEPwpGJW,89950167
2J3lPodw7zZgLvFj,89950167
2tXV7mviZhorA1RM,89950166
2uX384rIUPnjGgC0,90063345
3hM1H9vOSegG4muL,90063345
3kxdRumAEPjOMgwi,89950167
4vZP59mN1KI28Gbt,99999830
4XHkSagA5fOPuxUb,90063345
5GSEBkDJ7PUI1eOs,89950167
5JcQ0VvwWEGAxgDo,89950167
5Ml9NwrmadS6oYGx,90063345
5SGwTbXHP7hxBVFQ,89950166
6jzLumCYl0WxovJh,89950167
6U5hJDpyvqtn8CWk,89950167
6Ymtnld9KQqRACbH,89950167
71V0B9cdl3n4eaLX,89950166
7kCS4hAzViJlFw6t,89950167
7wyi1ZqSXJd2YUHo,89950167
aAtHUSgDhRKLFpXI,89950167
AjMlaL48nbmFNiKV,89950167
aL6gC2cpYbnOoquf,90063345
baxwgErfUctedyMD,89950167
bfQRBHmYz2IAS7ZG,89950167
bylWNEe6nj91sGpD,89950167
ciF83NOeA97w2Lnq,89950167
DAQkqIzVpMK0EYRg,89950167
dpmkzvfVJcCErYtQ,99999830
DRbWl0hr7OJQvXco,90063345
DvErhU1zJnYaetHC,90063345
EG4WYklKD3bBdCzg,90063345
EIFqYMd9A06yZL3m,90063345
ejWK91UhgZtOSMB8,90063345
f6qTWM3LUikgY2p9,90063345
F8kVChTj2RpKWmuP,90109916
fK9A5ayr07LeWQTD,89950167
fKs9TieWl6Dzn0Hc,89950167
FkSXv6rRo5x4BYmt,90063345
Fz3ckuEXnvRUjePW,90063345
g29jXEKdh3WaNMZq,89950167
gcDRpHZA4Ch39eY2,90063345
GqNdvc40uaIWTzwn,89950167
HGIDuLJa1VSgPw7h,99999828
hrXDnCcpYatE3umF,89950167
HUf2hEn5OwmRce0D,90063345
I0oPQ4OSC2bw7cHx,90063345
i6NeVXnTbEBus0AJ,90063345
IcyL04lafnuPK91C,89950166
IDCTpx2aWB1hfNZk,90063345
iV8QrKyOhWmaDNkn,89950167
iXHWwskAQ8UGum4b,89950167
jB2RKmNeiHIWbSP9,89950167
Jef5wg8uzoXrD9Fb,89950167
kIAptYEDbv9BV2PL,89950167
kpIwohs5r6nzDJZg,90063345
LbzmrAICgQPoEe6J,89950167
